Modelo,Split,Horizonte,MAE,RMSE,MAPE,R2,N
XGBoost,Validation,0,24.92,107.56,42.9,0.58,390
XGBoost,Test,0,0.35,0.73,68.8,0.157,1170
XGBoost,Validation,1,34.09,125.22,56.1,0.43,390
XGBoost,Test,1,0.94,2.34,343.8,-7.679,1155
XGBoost,Validation,2,41.82,140.77,70.9,0.281,390
XGBoost,Test,2,1.96,5.42,724.2,-44.918,1140
XGBoost,Validation,3,37.08,131.75,59.6,0.371,390
XGBoost,Test,3,2.7,6.72,1001.3,-68.711,1125
XGBoost,Validation,4,45.54,145.89,78.3,0.229,390
XGBoost,Test,4,3.02,6.79,662.3,-69.221,1110
